INDENT NO,WO NO,ITEM DESCRIPTION,MT ID,MT TYPE,QUT,UNIT,SIZE,THK,WIDTH,ID,VENDOR NAME,RATE EACH,DISCOUNT,OTHER EXP,TAX,QUT,PO NO,PO DESCRIPTION,AMOUNT,TAX AM,TOTALAMOUNT
11,M045,3AH 550-GBC-A1_11,BF,STD,2,Nos,DOWELPIN 10X50,50,0,0,GHANSHYAM VVN,10,0,0,18,2.00,,DOWELPIN 10X50,20,3.6,23.6
12,M045,3AH 550-GBC-A1_12,BF,STD,16,NOS,HEXBOLT-M16X70,0,0,0,GHANSHYAM VVN,5,0,0,18,16.00,,HEXBOLT-M16X70,80,14.4,94.4
13,M045,3AH 550-GBC-A1_13,BF,STD,16,NOS,HEXNUT-M16,0,0,0,GHANSHYAM VVN,2.5,0,0,18,16.00,,HEXNUT-M16,40,7.2,47.2
14,M045,3AH 550-GBC-A1_14,BF,STD,16,NOS,SPWASHER-A16,0,0,0,GHANSHYAM VVN,1,0,0,18,16.00,,SPWASHER-A16,16,2.88,18.88
15,M045,3AH 550-GBC-A1_20_SILICON,BF,STD,3,NOS,SILICON,0,0,0,GHANSHYAM VVN,90,0,0,18,3.00,,SILICON,270,48.6,318.6
16,M045,3AH 550-GBC-A1_23_STUD 16X200,ROUND,STD,8,KGS,ROUND16,200,0,0,GHANSHYAM VVN,65,0,0,18,2.52,,MT-ROUND Ø 16 X 200 mm Long,164.00384,29.5206912,193.5245312
17,M045,3AH 550-GBC-A1_19_NUT M16,BF,STD,28,NOS,HEXNUT-M16,0,0,0,GHANSHYAM VVN,2.5,0,0,18,28.00,,HEXNUT-M16,70,12.6,82.6
18,M045,3AH550 FABRICATION WITH SR- JW,LABOUR,NA,210,KGS,LABOUR,0,0,0,GHANSHYAM VVN,25,0,0,18,210.00,,LABOUR-3AH550 FABRICATION WITH SR- JW,5250,945,6195
19,M045,3AH550 GBODY BORING JW,LABOUR,NA,1,Nos,LABOUR,0,0,0,GHANSHYAM VVN,12000,0,0,18,1.00,,LABOUR-3AH550 GBODY BORING JW,12000,2160,14160
20,M045,MT-3AH 550-IP-14-03-A2 ,ROUND,EN-24,1,KGS,60.0,630,0,0,STOCK,85,0,0,18,13.97,,MT-ROUND Ø 60 X 630 mm Long,1187.5248,213.754464,1401.279264
21,M045,MT-3AH 550-G1-85-03-A3,ROUND,EN-9,1,KGS,210.0,60,0,0,KRUSHNA STEEL TRADERS,75,0,0,18,16.30,28,MT-ROUND Ø 210 X 60 mm Long,1222.452,220.04136,1442.49336
22,M045,MT-3AH 550-FIP-20-04-A4,ROUND,EN-24,1,KGS,90.0,340,0,0,KRUSHNA STEEL TRADERS,85,0,0,18,16.96,28,MT-ROUND Ø 90 X 340 mm Long,1441.9944,259.558992,1701.553392
23,M045,MT-3AH 550-G2-79-04-A5,ROUND,EN-9,1,KGS,295.0,80,0,0,STOCK,85,0,0,18,42.89,,MT-ROUND Ø 295 X 80 mm Long,3645.3032,656.154576,4301.457776
24,M045,MT-3AH 550-SIP-18-06-A6,ROUND,EN-24,1,KGS,125.0,340,0,0,STOCK,85,0,0,18,32.73,,MT-ROUND Ø 125 X 340 mm Long,2781.625,500.6925,3282.3175
25,M045,MT-3AH550-G3-81-06-A7,ROUND,EN-9,1,KGS,415.0,110,0,0,STOCK,85,0,0,18,116.70,,MT-ROUND Ø 415 X 110 mm Long,9919.4711,1785.504798,11704.9759
26,M045,MT-3AH 550-OP-A8,ROUND,EN-9,1,KGS,125.0,550,140,0,KRUSHNA STEEL TRADERS,85,0,0,18,52.94,28,MT-ROUND Ø 125 X 550 mm Long,4499.6875,809.94375,5309.63125
27,M045,MT-SP-92-70-41 LG,PIPE,STD,1,KGS,92.0,41,0,70,UNKNOWN,100,0,0,18,0.90,29,MT-PIPE OD Ø92 X ID Ø 70 X 41 THK,90.012384,16.20222912,106.2146131
28,M045,MT-SP-60-48-46 LG,PIPE,STD,1,KGS,60.0,46,0,48,UNKNOWN,100,0,0,18,0.37,29,MT-PIPE OD Ø60 X ID Ø 48 X 46 THK,36.723456,6.61022208,43.33367808
29,M045,MT-SP-120-95-28 LG,PIPE,STD,1,KGS,120.0,28,0,95,UNKNOWN,100,0,0,18,0.93,29,MT-PIPE OD Ø120 X ID Ø 95 X 28 THK,92.708,16.68744,109.39544
30,M045,BERING6308,BEARING,STD,2,Nos,BEARING6308,0,0,0,PATEL ENTERPRISE,225,0,0,18,2.00,26,STD- BEARING6308 X 0 MM LONG,450,81,531
31,M045,BERING22209,BEARING,STD,2,Nos,BEARING22209,0,0,0,PATEL ENTERPRISE,375,0,0,18,2.00,26,STD- BEARING22209 X 0 MM LONG,750,135,885
32,M045,BERING22212,BEARING,STD,2,Nos,BEARING22212,0,0,0,PATEL ENTERPRISE,1650,0,0,18,2.00,26,STD- BEARING22212 X 0 MM LONG,3300,594,3894
33,M045,BERING22218,BEARING,STD,2,Nos,BEARING22218,0,0,0,PATEL ENTERPRISE,1650,0,0,18,2.00,26,STD- BEARING22218 X 0 MM LONG,3300,594,3894
34,M045,3AH550 IP TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550 IP TURNING JW,400,72,472
35,M045,3AH550-FIP-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,350,0,0,18,1.00,,LABOUR-3AH550-FIP-TURNING JW,350,63,413
36,M045,3AH550-SIP-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550-SIP-TURNING JW,400,72,472
37,M045,3AH550-G1-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,300,0,0,18,1.00,,LABOUR-3AH550-G1-TURNING JW,300,54,354
38,M045,3AH550-G2-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,500,0,0,18,1.00,,LABOUR-3AH550-G2-TURNING JW,500,90,590
39,M045,3AH550-G3-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,650,0,0,18,1.00,,LABOUR-3AH550-G3-TURNING JW,650,117,767
40,M045,3AH550-OPS-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550-OPS-TURNING JW,400,72,472
41,M045,3AH550 IP MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550 IP MILLING JW,100,18,118
42,M045,3AH550-FIP-MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,80,0,0,18,1.00,,LABOUR-3AH550-FIP-MILLING JW,80,14.4,94.4
43,M045,3AH550-SIP-MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,80,0,0,18,1.00,,LABOUR-3AH550-SIP-MILLING JW,80,14.4,94.4
44,M045,3AH550-G1-SLOTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,80,0,0,18,1.00,,LABOUR-3AH550-G1-SLOTTING JW,80,14.4,94.4
45,M045,3AH550-G2-SLOTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,80,0,0,18,1.00,,LABOUR-3AH550-G2-SLOTTING JW,80,14.4,94.4
46,M045,3AH550-G3-SLOTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,120,0,0,18,1.00,,LABOUR-3AH550-G3-SLOTTING JW,120,21.6,141.6
47,M045,3AH550-OPS-MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-OPS-MILLING JW,100,18,118
48,M045,3AH550 IP HEAT TREATMENT JW,LABOUR,NA,10,KGS,JW,0,0,0,UNKNOWN,20,0,0,18,10.00,,LABOUR-3AH550 IP HEAT TREATMENT JW,200,36,236
49,M045,3AH550-FIP-HEAT TREATMENT JW,LABOUR,NA,18,KGS,JW,0,0,0,UNKNOWN,20,0,0,18,18.00,,LABOUR-3AH550-FIP-HEAT TREATMENT JW,360,64.8,424.8
50,M045,3AH550-SIP-HEAT TREATMENT JW,LABOUR,NA,34,Nos,JW,0,0,0,UNKNOWN,20,0,0,18,34.00,,LABOUR-3AH550-SIP-HEAT TREATMENT JW,680,122.4,802.4
51,M045,3AH550-G1-HEAT TREATMENT JW,LABOUR,NA,26,Nos,JW,0,0,0,UNKNOWN,20,0,0,18,26.00,,LABOUR-3AH550-G1-HEAT TREATMENT JW,520,93.6,613.6
52,M045,3AH550-G2-HEAT TREATMENT JW,LABOUR,NA,53,Nos,JW,0,0,0,UNKNOWN,20,0,0,18,53.00,,LABOUR-3AH550-G2-HEAT TREATMENT JW,1060,190.8,1250.8
53,M045,3AH550-G3-HEAT TREATMENT JW,LABOUR,NA,185,Nos,JW,0,0,0,UNKNOWN,20,0,0,18,185.00,,LABOUR-3AH550-G3-HEAT TREATMENT JW,3700,666,4366
54,M045,3AH550-OPS-HEAT TREATMENT JW,LABOUR,NA,70,Nos,JW,0,0,0,UNKNOWN,20,0,0,18,70.00,,LABOUR-3AH550-OPS-HEAT TREATMENT JW,1400,252,1652
55,M045,3AH550 IP TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,275,0,0,18,1.00,,LABOUR-3AH550 IP TEETH CUTTING JW,275,49.5,324.5
56,M045,3AH550-FIP-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,438,0,0,18,1.00,,LABOUR-3AH550-FIP-TEETH CUTTING JW,438,78.84,516.84
57,M045,3AH550-SIP-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,622,0,0,18,1.00,,LABOUR-3AH550-SIP-TEETH CUTTING JW,622,111.96,733.96
58,M045,3AH550-G1-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,558,0,0,18,1.00,,LABOUR-3AH550-G1-TEETH CUTTING JW,558,100.44,658.44
59,M045,3AH550-G2-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,1178,0,0,18,1.00,,LABOUR-3AH550-G2-TEETH CUTTING JW,1178,212.04,1390.04
60,M045,3AH550-G3-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,2350,0,0,18,1.00,,LABOUR-3AH550-G3-TEETH CUTTING JW,2350,423,2773
61,M045,3AH550-OPS-TEETH CUTTING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,486,0,0,18,1.00,,LABOUR-3AH550-OPS-TEETH CUTTING JW,486,87.48,573.48
62,M045,3AH550 IP GRINDING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550 IP GRINDING JW,100,18,118
63,M045,3AH550-FIP-GRINDING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-FIP-GRINDING JW,100,18,118
64,M045,3AH550-SIP-GRINDING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-SIP-GRINDING JW,100,18,118
65,M045,MT-3AH550-BEARING COVER-IP DS,ROUND,STD,2,KGS,150.0,20,0,0,UNKNOWN,70,0,0,18,5.54,29,MT-ROUND Ø 150 X 20 mm Long,388.08,69.8544,457.9344
66,M045,MT-3AH550-BEARING COVER-IP DS,ROUND,STD,2,KGS,150.0,3.15,0,0,UNKNOWN,70,0,0,18,0.87,29,MT-ROUND Ø 150 X 3.15 mm Long,61.1226,11.002068,72.124668
67,M045,MT-3AH550-BEARING COVER FIP,ROUND,STD,2,KGS,140.0,12,0,0,UNKNOWN,70,0,0,18,2.90,29,MT-ROUND Ø 140 X 12 mm Long,202.83648,36.5105664,239.3470464
68,M045,MT-3AH550-BEARING COVER SIP,ROUND,STD,2,KGS,180.0,12,0,0,UNKNOWN,70,0,0,18,4.79,29,MT-ROUND Ø 180 X 12 mm Long,335.30112,60.3542016,395.6553216
69,M045,MT-3AH550-BEARING COVER OPS,ROUND,STD,1,KGS,230.0,12,0,0,UNKNOWN,70,0,0,18,3.91,29,MT-ROUND Ø 230 X 12 mm Long,273.72576,49.2706368,322.9963968
70,M045,MT-3AH550-BEARING COVER OPS,ROUND,STD,1,KGS,230.0,20,0,0,UNKNOWN,70,0,0,18,6.52,29,MT-ROUND Ø 230 X 20 mm Long,456.2096,82.117728,538.327328
71,M045,MT-3AH550-BEARING COVER OPS,ROUND,STD,1,KGS,230.0,3.15,0,0,UNKNOWN,70,0,0,18,1.03,29,MT-ROUND Ø 230 X 3.15 mm Long,71.853012,12.93354216,84.78655416
72,,,,,,,,,,,,,,,,FALSE,,-  X  MM LONG,0,0,0
73,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
74,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
75,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
76,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
77,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
78,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
79,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
80,M045,3AH550-BEARING COVER-TURNING,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550-BEARING COVER-TURNING,100,18,118
81,M045,OIL SEAL 40 X 60 X 10BS,BF,STD,1,Nos,OILSEAL40X60X10,0,0,0,PATEL ENTERPRISE,100,0,0,18,1.00,26,OILSEAL40X60X10,100,18,118
82,M045,OIL SEAL 90 X 120 X 12 ,BF,STD,1,Nos,OILSEAL90X120X12,0,0,0,STOCK,100,0,0,18,1.00,26,OILSEAL90X120X12,100,18,118
83,M045,KEY 12X8X88L,BF,STD,1,Nos,KEY 12X8,88,0,0,UNKNOWN,25,0,0,18,1.00,,KEY 12X8,25,4.5,29.5
84,M045,KEY 12X8X60L,BF,STD,1,Nos,KEY 12X8,60,0,0,UNKNOWN,25,0,0,18,1.00,,KEY 12X8,25,4.5,29.5
85,M045,KEY 18X11X55LG,BF,STD,1,Nos,KEY 18X11,55,0,0,UNKNOWN,25,0,0,18,1.00,,KEY 18X11,25,4.5,29.5
86,M045,KEY25X14X75LG,BF,STD,1,Nos,KEY 25X14,75,0,0,UNKNOWN,20,0,0,18,1.00,,KEY 25X14,20,3.6,23.6
87,M045,KEY36X20X140LG,BF,STD,1,Nos,KEY 36X20,140,0,0,UNKNOWN,20,0,0,18,1.00,,KEY 36X20,20,3.6,23.6
88,M045,"1/2"" B.S.P.PLUG",BF,STD,1,Nos,PLUG1/2 BSP,0,0,0,UNKNOWN,10,0,0,18,1.00,,PLUG1/2 BSP,10,1.8,11.8
89,M045,SILICON,BF,STD,1,Nos,SILICON,0,0,0,UNKNOWN,90,0,0,18,1.00,,SILICON,90,16.2,106.2
90,M045,HEXBOLT12X30,HEX BOLT,HEX BOLT,36,Nos,M12,60,0,0,UNKNOWN,90,0,0,18,4.22,,HEX BOLT- M12 X 60 MM LONG,379.647844,68.33661191,447.9844559
91,M045,SPRINGWASHER12,BF,STD,36,Nos,SPWASHER-A12,0,0,0,UNKNOWN,1,0,0,18,36.00,,SPWASHER-A12,36,6.48,42.48
92,G047,PLATE THK 8 X 232 X 877 ,PLATE,NA,4,KGS,PLATE8,232,877,0,GHANSHYAM VVN,65,0,0,18,51.11,,MT-PLATE Thk 8 Thk  X 232 X 877 mm Long,3322.160192,597.9888346,3920.149027
93,G047,3AH 550-GBC-A1_2,PLATE,NA,1,KGS,PLATE8,242,1244,0,GHANSHYAM VVN,65,0,0,18,18.91,,MT-PLATE Thk 8 Thk  X 242 X 1244 mm Long,1228.877936,221.1980285,1450.075964
94,G047,3AH 550-GBC-A1_3,PLATE,NA,4,KGS,PLATE50,115,758,0,AMBIKA INDUSTRIES,65,0,0,18,136.86,,MT-PLATE Thk 50 Thk  X 115 X 758 mm Long,8895.6985,1601.22573,10496.92423
95,G047,3AH 550-GBC-A1_4,PLATE,NA,4,KGS,PLATE20,40,142,,GHANSHYAM VVN,65,0,0,18,3.57,,MT-PLATE Thk 20 Thk  X 40 X 142 mm Long,231.8576,41.734368,273.591968
96,G047,3AH 550-GBC-A1_5,PLATE,NA,4,KGS,PLATE20,40,326,,GHANSHYAM VVN,65,0,0,18,8.19,,MT-PLATE Thk 20 Thk  X 40 X 326 mm Long,532.2928,95.812704,628.105504
97,G047,3AH 550-GBC-A1_6,PLATE,NA,2,KGS,PLATE25,77,470,,GHANSHYAM VVN,65,0,0,18,14.20,,MT-PLATE Thk 25 Thk  X 77 X 470 mm Long,923.297375,166.1935275,1089.490903
98,G047,3AH 550-GBC-A1_7,PLATE,NA,1,KGS,PLATE6,35,856,,GHANSHYAM VVN,65,0,0,18,1.41,,MT-PLATE Thk 6 Thk  X 35 X 856 mm Long,91.72254,16.5100572,108.2325972
99,G047,3AH 550-GBC-A1_8,PLATE,NA,1,KGS,PLATE6,242,1175,,GHANSHYAM VVN,65,0,0,18,13.39,,MT-PLATE Thk 6 Thk  X 242 X 1175 mm Long,870.537525,156.6967545,1027.23428
100,G047,C CHANNEL 75 X 9 LG,CCH,NA,4,KGS,CH75,90,0,0,GHANSHYAM VVN,65,0,0,18,2.45,,MT-C CHANNEL 75 X 9 LG X 90 mm Long,159.12,28.6416,187.7616
101,G047,3AH 550-GBC-A1_10,CCH,NA,4,KGS,CH75,80,,,GHANSHYAM VVN,65,0,0,18,2.18,,MT-3AH 550-GBC-A1_10 X 80 mm Long,141.44,25.4592,166.8992
102,G047,3AH 550-GBC-A1_11,BF,STD,2,Nos,DOWELPIN 10X50,50,0,0,GHANSHYAM VVN,10,0,0,18,2.00,,DOWELPIN 10X50,20,3.6,23.6
103,G047,3AH 550-GBC-A1_12,BF,STD,16,NOS,HEXBOLT-M16X70,0,0,0,GHANSHYAM VVN,5,0,0,18,16.00,,HEXBOLT-M16X70,80,14.4,94.4
104,G047,3AH 550-GBC-A1_13,BF,STD,16,NOS,HEXNUT-M16,0,0,0,GHANSHYAM VVN,2.5,0,0,18,16.00,,HEXNUT-M16,40,7.2,47.2
105,G047,3AH 550-GBC-A1_14,BF,STD,16,NOS,SPWASHER-A16,0,0,0,GHANSHYAM VVN,1,0,0,18,16.00,,SPWASHER-A16,16,2.88,18.88
106,G047,3AH 550-GBC-A1_20_SILICON,BF,STD,1,NOS,SILICON,0,0,0,GHANSHYAM VVN,90,0,0,18,1.00,,SILICON,90,16.2,106.2
107,G047,3AH 550-GBC-A1_23_STUD 16X200,ROUND,STD,8,KGS,ROUND16,200,0,0,GHANSHYAM VVN,65,0,0,18,2.52,,MT-ROUND Ø 16 X 200 mm Long,164.00384,29.5206912,193.5245312
108,G047,3AH 550-GBC-A1_19_NUT M16,BF,STD,28,NOS,HEXNUT-M16,0,0,0,GHANSHYAM VVN,2.5,0,0,18,28.00,,HEXNUT-M16,70,12.6,82.6
109,G047,3AH550 FABRICATION WITH SR- JW,LABOUR,NA,250,KGS,JW,0,0,0,GHANSHYAM VVN,25,0,0,18,250.00,,LABOUR-3AH550 FABRICATION WITH SR- JW,6250,1125,7375
110,G047,3AH550 GBODY BORING JW,LABOUR,NA,1,Nos,JW,0,0,0,GHANSHYAM VVN,12000,0,0,18,1.00,,LABOUR-3AH550 GBODY BORING JW,12000,2160,14160
111,G047,3AH 550-IP-14-03-A2,ROUND,EN-24,1,KGS,ROUND55,613,0,0,HINDUSTAN ENTERPRISE,85,0,0,18,11.42,,MT-ROUND Ø 55 X 613 mm Long,970.92457,174.7664226,1145.690993
112,G047,3AH 550-G1-85-03-A3,ROUND,EN-9,1,KGS,ROUND265EN,60,,0,HINDUSTAN ENTERPRISE,75,0,0,18,25.96,,MT-ROUND Ø 265EN X 60 mm Long,1946.637,350.39466,2297.03166
113,G047,3AH 550-FIP-20-04-A4,ROUND,EN-24,1,KGS,ROUNDPIPE90,350,0,0,HINDUSTAN ENTERPRISE,85,0,0,18,17.46,,MT-ROUND Ø 90 X 350 mm Long,1484.406,267.19308,1751.59908
114,G047,3AH 550-G2-79-04-A5,ROUND,EN-9,1,KGS,ROUND330,80,0,0,HINDUSTAN ENTERPRISE,75,0,0,18,53.67,,MT-ROUND Ø 330 X 80 mm Long,4024.944,724.48992,4749.43392
115,G047,3AH 550-SIP-18-06-A6,ROUND,EN-24,1,KGS,ROUND125,350,0,0,HINDUSTAN ENTERPRISE,85,0,0,18,33.69,,MT-ROUND Ø 125 X 350 mm Long,2863.4375,515.41875,3378.85625
116,G047,3AH550-G3-81-06-A7,ROUND,EN-9,1,KGS,ROUND500,120,0,0,HINDUSTAN ENTERPRISE,75,0,0,18,184.80,,MT-ROUND Ø 500 X 120 mm Long,13860,2494.8,16354.8
117,G047,3AH 550-OP-A8,ROUND,EN-9,1,KGS,ROUND140,576,140,0,HINDUSTAN ENTERPRISE,85,0,0,18,69.54,,MT-ROUND Ø 140 X 576 mm Long,5911.23456,1064.022221,6975.256781
118,G047,SP-73-61-35-A9,PIPE,STD,1,KGS,ROUNDPIPE80,35,0,61,UNKNOWN,52,0,0,18,0.58,,MT-PIPE OD Ø80 X ID Ø 61 X 35 THK,30.0348048,5.406264864,35.44106966
119,G047,SP-100-85-30-A10,PIPE,STD,1,KGS,ROUNDPIPE100,30,0,85,UNKNOWN,52,0,0,18,0.51,,MT-PIPE OD Ø100 X ID Ø 85 X 30 THK,26.66664,4.7999952,31.4666352
120,G047,SP-141.3-115-10-A11,PIPE,STD,1,KGS,ROUNDPIPE140,10,0,115,UNKNOWN,52,0,0,18,0.39,,MT-PIPE OD Ø140 X ID Ø 115 X 10 THK,20.4204,3.675672,24.096072
121,G047,BERING6309,BEARING,STD,2,Nos,BEARING6309,0,0,0,UNKNOWN,0,0,0,18,2.00,,STD- BEARING6309 X 0 MM LONG,0,0,0
122,G047,BERING22212,BEARING,STD,2,Nos,BEARING22212,0,0,0,UNKNOWN,920,0,0,18,2.00,,STD- BEARING22212 X 0 MM LONG,1840,331.2,2171.2
123,G047,BERING22216,BEARING,STD,2,Nos,BEARING22216,0,0,0,UNKNOWN,1700,0,0,18,2.00,,STD- BEARING22216 X 0 MM LONG,3400,612,4012
124,G047,BERING22222,BEARING,STD,2,Nos,BEARING22222,0,0,0,UNKNOWN,2400,0,0,18,2.00,,STD- BEARING22222 X 0 MM LONG,4800,864,5664
125,G047,3AH550 IP TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550 IP TURNING JW,400,72,472
126,G047,3AH550-FIP-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,350,0,0,18,1.00,,LABOUR-3AH550-FIP-TURNING JW,350,63,413
127,G047,3AH550-SIP-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550-SIP-TURNING JW,400,72,472
128,G047,3AH550-G1-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,300,0,0,18,1.00,,LABOUR-3AH550-G1-TURNING JW,300,54,354
129,G047,3AH550-G2-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,500,0,0,18,1.00,,LABOUR-3AH550-G2-TURNING JW,500,90,590
130,G047,3AH550-G3-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,650,0,0,18,1.00,,LABOUR-3AH550-G3-TURNING JW,650,117,767
131,G047,3AH550-OPS-TURNING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,400,0,0,18,1.00,,LABOUR-3AH550-OPS-TURNING JW,400,72,472
132,G047,3AH550 IP MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,100,0,0,18,1.00,,LABOUR-3AH550 IP MILLING JW,100,18,118
133,G047,3AH550-FIP-MILLING JW,LABOUR,NA,1,Nos,JW,0,0,0,UNKNOWN,80,0,0,18,1.00,,LABOUR-3AH550-FIP-MILLING JW,80,14.4,94.4
